Delay is 1000 msec, num_iter is 100,
Sleeptime struct is 1 sec: 0 nsec
1000214576.721191, nsec
1000062942.504883, nsec
1000078916.549683, nsec
1000642299.652100, nsec
1000664949.417114, nsec
1000114679.336548, nsec
1000100135.803223, nsec
1000027179.718018, nsec
1000262975.692749, nsec
1000036954.879761, nsec
1000095844.268799, nsec
1000523090.362549, nsec
1000186443.328857, nsec
1001379251.480103, nsec
1000078678.131104, nsec
1000135421.752930, nsec
1000159025.192261, nsec
1000178098.678589, nsec
1000091075.897217, nsec
1000067710.876465, nsec
1000441074.371338, nsec
1000023365.020752, nsec
1000242948.532104, nsec
1000025987.625122, nsec
1000051736.831665, nsec
1000191926.956177, nsec
1000171422.958374, nsec
1000235795.974731, nsec
1000377655.029297, nsec
1000084638.595581, nsec
1000269889.831543, nsec
1000294208.526611, nsec
1000169038.772583, nsec
1000111579.895020, nsec
1000109195.709229, nsec
1000203371.047974, nsec
1000092267.990112, nsec
1000153303.146362, nsec
1000246524.810791, nsec
1000349044.799805, nsec
1000108718.872070, nsec
1000161170.959473, nsec
1000926494.598389, nsec
1001022815.704346, nsec
1000876426.696777, nsec
1000041484.832764, nsec
1000417709.350586, nsec
1000335693.359375, nsec
1000124692.916870, nsec
1000071525.573730, nsec
1000580549.240112, nsec
1000072479.248047, nsec
1000773191.452026, nsec
1000761747.360229, nsec
1000041484.832764, nsec
1000047206.878662, nsec
1000076532.363892, nsec
1000133037.567139, nsec
1000454664.230347, nsec
1000407218.933105, nsec
1000136613.845825, nsec
1000077962.875366, nsec
1000264644.622803, nsec
1000087499.618530, nsec
1000795602.798462, nsec
1000604867.935181, nsec
1000793695.449829, nsec
1000107288.360596, nsec
1000407934.188843, nsec
1000726222.991943, nsec
1000503778.457642, nsec
1000859498.977661, nsec
1000078916.549683, nsec
1000652074.813843, nsec
1000082969.665527, nsec
1000616788.864136, nsec
1000055313.110352, nsec
1000434875.488281, nsec
1000047922.134399, nsec
1000048637.390137, nsec
1000590085.983276, nsec
1000029802.322388, nsec
1000039815.902710, nsec
1000656604.766846, nsec
1000064134.597778, nsec
1000164747.238159, nsec
1000066518.783569, nsec
1000031709.671021, nsec
1000158309.936523, nsec
1000084638.595581, nsec
1000036716.461182, nsec
1000404119.491577, nsec
1000722169.876099, nsec
1000495195.388794, nsec
1000081300.735474, nsec
1000050544.738770, nsec
1000043153.762817, nsec
1000631809.234619, nsec
1000398159.027100, nsec
1000169515.609741, nsec
Total time taken : actual 100029.581785 msec theory(excl. runtime): 100000 msec
