Run time for pass, 1, 1234.070063 ms
Run time for pass, 2, 1383.758068 ms
Run time for pass, 3, 1449.545145 ms
Run time for pass, 4, 736.398935 ms
Run time for pass, 5, 601.759911 ms
Run time for pass, 6, 637.603998 ms
Run time for pass, 7, 592.097998 ms
Run time for pass, 8, 557.522058 ms
Run time for pass, 9, 686.822891 ms
Run time for pass, 10, 915.108919 ms
Total Run time, 108913.501978 ms

