procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 498080 419328  13480 112048    0    0     0    66  119 1046  4  1 95  0  0
 0  0 498044 412756  13488 112048    9    0     9     7  117  950  4  1 95  0  0
 0  0 498044 419204  13496 112048    0    0     0     6  113 1051  3  1 96  0  0
 0  0 498044 419204  13520 112048    0    0     0    78  105  837  2  1 97  0  0
 0  0 498044 419072  13528 112052    0    0     0     7   96  780  3  1 96  0  0
 0  0 498032 412508  13536 112052    3    0     3     3  107  856  3  0 97  0  0
 0  0 498032 418956  13536 112056    0    0     0     8  119 1160  4  1 95  0  0
 0  0 498028 418452  13548 112064    0    0     1    49   86  618  2  1 97  0  0
 1  1 497860 410772  13556 113004  102    0   290     7  130  811  3  1 95  1  0
 0  0 497752 406928  13632 116196   29    0   682    10  133  913  3  1 95  1  0
 0  0 497752 406176  13660 116412    0    0    26   145   97  610  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 497752 406184  13660 116428    0    0     0     1   56  414  1  0 99  0  0
 0  0 497752 406184  13676 116428    0    0     0     8   56  368  1  0 98  0  0
 0  0 497752 406184  13684 116428    0    0     0    19   56  315  1  0 98  0  0
 0  0 497752 406564  13692 116416    0    0     0    54   48  300  2  0 98  0  0
 0  0 497752 406564  13700 116420    0    0     0    10   78  642  2  1 97  0  0
 0  0 497752 406564  13700 116408    0    0     0     0   63  464  2  0 98  0  0
 0  0 497752 406564  13708 116416    0    0     0    10   60  374  1  0 99  0  0
 0  0 497752 406564  13716 116416    0    0     0     5   73  450  1  0 98  0  0
 0  0 497748 406564  13732 116424    1    0     1    91   73  511  1  0 98  0  0
 0  0 497748 406184  13756 116692    0    0    58    14   85  552  2  1 97  0  0
