Run time for pass 1, 615.689993 ms
Run time for pass 2, 607.733011 ms
Run time for pass 3, 572.100878 ms
Run time for pass 4, 598.896980 ms
Run time for pass 5, 569.166899 ms
Run time for pass 6, 571.001053 ms
Run time for pass 7, 631.083012 ms
Run time for pass 8, 630.515099 ms
Run time for pass 9, 1991.063833 ms
Run time for pass 10, 1840.149164 m
