procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  45676 192052   7868 174612    0   11   105    43   85  608  5  1 94  0  0
 1  0  45676  73972   7876 174616    0    0     0    11  244 1007 40  2 58  0  0
 0  0  45676  73848   7884 174612    0    0     0     6  100  753  2  1 97  0  0
 1  0  45676  73856   7900 174616    0    0     0    71  196  450 41  0 59  0  0
 0  0  45676  73732   7908 174616    0    0     0    15   99  337 13  1 86  0  0
 0  0  45676  73732   7916 174612    0    0     0     6  156  339 30  0 70  0  0
 0  0  45676  73484   7924 174608    0    0     0     4  107  327 15  0 84  0  0
 1  0  45676  73484   7932 174616    0    0     0    58  106  328 16  0 84  0  0
 0  0  45676  73360   7940 174616    0    0     0     7  134  324 23  1 76  0  0
 0  0  45676  73360   7940 174612    0    0     0     0   95  324 13  0 87  0  0
 0  0  45676  73360   7948 174612    0    0     0     7  135  322 25  0 75  0  0
 1  0  45676  73360   7972 174612    0    0     0    86   74  326  7  0 93  0  0
 1  0  45676  73352   7980 174612    0    0     0     5  193  524 38  0 62  0  0
 0  0  45676  73352   7988 174612    0    0     0     6   75  667  2  1 98  0  0
 1  0  45676  72988   7996 174612    0    0     0    44  193  475 35  0 64  0  0
 0  0  45676  72980   8004 174620    0    0     2     6   74  480  2  0 98  0  0
 0  0  45676  72980   8004 174620    0    0     0     0  185  419 34  0 65  0  0
 0  0  45676  72988   8012 174616    0    0     0     6   60  408  1  0 99  0  0
 0  0  45676  72972   8020 174620    0    0     0     6  179  341 35  0 65  0  0
 0  0  45676  72980   8036 174620    0    0     0    91   56  322  1  0 99  0  0
 1  0  45676  72988   8044 174620    0    0     0     6  146  330 28  0 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  45676  72988   8052 174620    0    0     0     6   94  445  9  0 91  0  0
 0  0  45676 151372   8060 174620    0    0     0    30   96  869  2  0 98  0  0
 0  0  45676 190688   8068 174620    0    0     0     6   60  415  1  0 98  0  0
 0  0  45676 190696   8068 174624    0    0     0     0   61  400  1  0 99  0  0
 0  0  45676 189084   8080 174624    0    0     0     6  160 1357  4  2 94  0  0
 0  0  45676 188952   8088 174624    0    0     0    14  156 1155  3  1 96  0  0
 1  0  45676 189200   8104 174636    0    0     1   103  119  851  2  1 97  0  0
 0  0  45676 183992   8112 174488    0    0     0    13  316 2913 18  2 79  0  0
 0  0  45676 177008   8120 175888    0    0     2    34  267 2134 18  2 80  0  0
 1  0  45676 169320   8128 175120    0    0     3    14  337 3093 26  3 71  0  0
 0  0  45676 163872   8136 176620    0    0     0    18  327 2806 22  3 74  0  0
 0  0  45676 159624   8144 176728    0    0     6    34  352 2932 23  3 74  0  0
 0  0  45676 159508   8144 176728    0    0     0     0  188 1326  6  1 93  0  0
 0  0  45676 159384   8152 176732    0    0     0    14  122  796  2  1 97  0  0
 0  0  45676 159384   8176 176732    0    0     0   271  122  998  3  1 96  0  0
 0  0  45668 158888   8184 176732    2    0     2    15  143  956  2  1 97  0  0
 0  0  45668 156036   8192 177124    0    0     0    25  322 3432 21  4 75  0  0
 0  0  45668 148340   8200 177500    0    0     0    17  379 3838 26  4 70  0  0
 0  0  45668 148100   8200 177504    0    0     0    21  122  704  2  1 97  0  0
 0  0  45588 146448   8208 177712   20    0    20    14  265 2534 14  3 83  0  0
 0  0  45588 156276   8224 167092    0    0     1    81  387 3738 14  4 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  45588 156284   8232 167092    0    0     0    23  160 1521  3  1 96  0  0
 0  0  45588 156284   8256 167092    0    0     0    74  141 1651  6  1 93  0  0
 0  0  45588 156160   8264 167092    0    0     0    13   91 1014  3  1 96  0  0
 0  0  45584 117316   8276 170852   16    0   358   147  313 2740 21  4 73  1  0
 0  0  45584 117316   8284 170856    0    0     0    29   83  570  2  1 98  0  0
 0  0  45584 117192   8284 170856    0    0     0    42   85  646  2  0 98  0  0
 0  0  45584 117192   8292 170852    0    0     0    11   81  605  1  1 98  0  0
 0  0  45584 117200   8300 170856    0    0     0     7   82  567  1  0 98  0  0
 0  0  45584 121044   8308 170856    0    0     0    12  240 2934 13  3 84  0  0
 1  0  45584 120920   8316 170856    0    0     0    10  108 1139  3  1 96  0  0
 1  0  45584 120920   8332 170856    0    0     0    87  130 1474  5  1 94  0  0
 1  0  45584  85044   8340 172908    0    0     0    34  245 2318 19  5 76  0  0
 0  0  45584  83912   8348 172920    0    0     0    10   96  676  2  1 97  0  0
 0  0  45584  84540   8356 172920    0    0     0    14   78  559  2  0 97  0  0
 0  0  45584  84556   8364 172916    0    0     0     6   79  599  2  0 98  0  0
 0  0  45584  88276   8372 172916    0    0     0     5  145 1612 10  2 88  0  0
 0  0  45584  87896   8388 172924    0    0     0   134  170 1543  4  1 95  0  0
 0  0  45584  87896   8396 172924    0    0     0    13  124  995  3  1 96  0  0
 0  0  45584  87648   8404 172924    0    0     0    38   65  497  2  0 98  0  0
 0  0  45584  87656   8404 172924    0    0     0     0   58  419  1  0 98  0  0
 0  0  45584  87648   8412 172920    0    0     0    12   66  515  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
