procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 203396 112660   1660 183248    0    0    48    30  137 1532  8  1 91  0  0
 1  1 203396 112420   1668 183268    0    0     0    92  113 1238  2  1 97  0  0
 0  0 203392 112172   1668 183268    1    0     1   135  101 1259  3  1 95  0  0
 0  0 203392 115768   1692 183340    0    0     1    89   91  980  3  0 97  0  0
 0  0 203392 115768   1700 183348    0    0     0    14   97  968  3  1 96  0  0
 0  0 203392 115388   2084 183364    0    0    77     1   94  908  3  1 97  0  0
 0  0 203380 114024   2360 183420    4    0    58    16  102  693  3  1 96  1  0
 1  0 203364  69476   2412 200924    7    0  1725  1655  231  730 28  2 69  1  0
 0  0 205392 113412   1404 186116    7  411    14  2003  308 1150 50  2 34 14  0
 0  0 205392 113412   1412 186116    0    0     0    12  102 1325  3  1 96  0  0
 0  0 205380 213212   1464 186976    3    0   175     0  112 1054  3  1 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 205380 213212   1472 186964    0    0     0     9  100  888  3  1 97  0  0
 0  0 205380 212592   1568 187096    0    0    42    86   83  642  2  0 97  0  0
 0  0 205380 212460   1584 187100   10    0    10    16   77  501  2  0 98  0  0
 0  0 205380 212080   1860 187172    0    0    66    76  104  667  2  1 97  0  0
 1  0 227284  86388    580 101156    0 4381     5  4392  369 1467 73  5 22  0  0
 0  0 234992  67512    228  83284    0 1542  2354  1555  254  897 25  2 71  2  0
 0  0 234992  62800    384  87768    0    0   922     7  347 1412 63  1 35  1  0
 0  0 234988  61808    392  88480    6    0   144     4  175  880 27  1 72  0  0
 1  0 234988  60284   1640  88940    0    0   328     6  267  505 50  1 48  1  0
 0  0 260292  72104   3240  81600    5 5062  1907  5079  281  559 43  3 52  2  0
 1  0 260292  69020   3400  84532    0    0   586    91  246  601 44  0 53  2  0
 0  0 260292  64780   3556  88648    0    0   839    30  250  724 43  0 57  0  0
 1  0 260292  62300   4368  90256    0    0   453    12  220  670 34  1 65  1  0
 0  0 260220  71956   4652  91160   42    0   425    54  297  798 52  1 46  1  0
 1  0 267012  63452   5064 102304    3 1360  2749  1376  237  767 23  1 72  4  0
 0  0 267012  62964   5064 102672    0    0    40     0  296  388 64  0 36  0  0
 1  0 267012  62592   5088 102900    0    0     2   159  101  335 14  0 85  0  0
 1  0 267012  62468   5096 102932    0    0     6     7  298  381 67  1 32  0  0
 0  0 267012  62436   5104 103272    0    0    68    38  141  850 17  1 81  0  0
 1  0 267012  62964   5112 103268    0    0     0     5  348  393 80  1 20  0  0
 0  0 267012  61724   5124 104828    0    0   310    13  133  333 18  1 81  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 267012  61352   5132 105076    0    0    50    13  295  387 68  0 32  0  0
 0  0 267012  61352   5140 105064    0    0     0     6  163  369 30  0 69  0  0
 1  0 267012  61352   5140 105064    0    0     0     0  224  779 39  0 61  0  0
 0  0 267008  60972   5164 105328    2    0    54   125  269  782 49  1 50  0  0
 0  0 267008 178680   5172 105328    0    0     0     4  119 1029  3  1 96  0  0
 0  0 267008 336048   5180 105328    0    0     0     4   87  734  2  0 98  0  0
 0  0 267008 336048   5188 105328    0    0     0     6   56  405  1  0 98  0  0
 0  0 267004 336064   5196 105328    1    0     1     7   83  752  2  1 96  0  0
 0  0 267000 332336   5208 107756    1    0   481     6  112  841  3  1 95  1  0
 0  0 267000 340388   5224 112520    1    0   950    10  106  517  6  1 92  1  0
 0  0 266996 342036   5232 116884    2    0   876    17  133 1057  7  2 90  1  0
 0  0 266996 342036   5240 116884    0    0     0    83  107 1028  4  1 95  0  0
 1  0 266996 306804   7556 135840    0    0  4245    47  377 2933 10  4 81  5  0
 0  0 266984 261644  16628 150256    3    0  4156     9  511 2016 14  5 74  7  0
 0  0 266984 260652  16640 150680    0    0    86    17   94  716  2  1 97  0  0
 1  0 266968 264024  16648 151720    5    0   212    14  213 2797 14  2 84  0  0
 0  0 266968 263776  16648 151728    0    0     2    15  149 1360  3  1 95  0  0
 0  0 266968 263792  16660 151728    0    0     1    58   80  603  2  0 98  0  0
 0  0 266968 263676  16668 151724    0    0     0     6   85  629  2  0 98  0  0
 0  0 266968 263552  16676 151736    0    0     2     7   73  628  2  0 98  0  0
 0  0 266968 263428  16684 151736    0    0     0     5   81  634  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 266968 266776  16700 151820    0    0    17    74  116 1193  4  0 96  0  0
 0  0 266968 231248  16708 153896    1    0     1     9  342 5496 34  8 58  0  0
 0  0 266968 227280  16736 155652    0    0   353    16  152 1480  5  1 93  0  0
 0  0 266968 227056  16744 155660    0    0     0    33  139 1123  3  1 96  0  0
