procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 205380 212080   1860 187172    1   42   124    78  100  720  6  1 93  0  0
 2  0 227284  79192   1748 107172    0 4381     5  4392  357 1509 68  5 27  0  0
 0  0 234992  67512    228  83284    0 1542  2354  1555  271  898 30  2 66  2  0
 1  0 234992  62800    384  87768    0    0   922     7  338 1395 61  1 37  1  0
 0  0 234988  61808    392  88480    6    0   144     4  185  904 30  1 69  0  0
 0  0 234988  60292   1632  88944    0    0   328     0  257  500 47  1 51  0  0
 0  0 260292  72104   3240  81600    5 5062  1907  5085  290  554 46  3 49  2  0
 1  0 260292  69020   3400  84520    0    0   586    91  224  593 39  0 58  2  0
 0  0 260292  64780   3556  88648    0    0   839    30  273  734 48  0 51  0  0
 1  0 260292  62300   4368  90232    0    0   453    12  203  669 29  1 70  1  0
 0  0 260220  60200   4652  91772   42    0   371    53  312  786 57  1 41  1  0
 1  0 267012  63452   5056 102304    3 1360  2802  1361  219  781 17  1 77  4  0
 1  0 267012  62964   5064 102672    0    0    40    16  302  378 65  0 35  0  0
 1  0 267012  62592   5088 102900    0    0     2   159   97  348 13  0 87  0  0
 0  0 267012  62468   5096 102932    0    0     6     7  314  381 71  1 28  0  0
 0  0 267012  62436   5104 103272    0    0    68    38  144  848 19  1 80  0  0
 1  0 267012  62932   5112 103272    0    0     0     5  329  396 74  1 25  0  0
 0  0 267012  61724   5124 104828    0    0   310    13  151  333 23  1 76  0  0
 2  0 267012  61352   5132 105076    0    0    50    13  281  374 63  0 37  0  0
 0  0 267012  61352   5132 105064    0    0     0     0  175  376 36  0 64  0  0
 0  0 267012  61352   5140 105064    0    0     0     6  222  762 39  0 61  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 267008  60972   5164 105328    2    0    54   125  264  705 49  1 50  0  0
 0  0 267008 178680   5164 105328    0    0     0     0  115  998  3  1 96  0  0
 0  0 267008 336040   5180 105328    0    0     0     8   99  870  2  1 97  0  0
 0  0 267008 336048   5188 105328    0    0     0     6   58  406  1  0 98  0  0
 0  0 267004 336064   5196 105328    1    0     1     7   82  751  2  1 96  0  0
 0  0 267000 332336   5208 107756    1    0   481     6  108  771  3  1 96  1  0
 0  0 267000 340388   5224 112520    1    0   950    10  107  576  6  1 92  1  0
 0  0 266996 342020   5232 116896    2    0   876    17  128 1005  7  2 91  1  0
 0  0 266996 342036   5240 116884    0    0     0    83  110 1071  4  1 95  0  0
 1  0 266996 313872   7284 132364    0    0  3497    47  319 2379  7  3 86  4  0
 0  0 266984 261644  16628 150256    3    0  4904     9  567 2557 17  5 69  8  0
 0  0 266984 260652  16640 150680    0    0    86    17   95  718  2  0 98  0  0
 0  0 266968 264024  16640 151720    5    0   212     6  206 2711 14  2 84  0  0
 0  0 266968 263768  16648 151728    0    0     2    23  158 1457  4  1 95  0  0
 0  0 266968 263792  16660 151728    0    0     1    58   81  624  2  1 98  0  0
 0  0 266968 263676  16668 151724    0    0     0     6   83  623  2  0 98  0  0
 0  0 266968 263552  16676 151736    0    0     2     7   75  634  2  0 98  0  0
 0  0 266968 263428  16684 151728    0    0     0     5   79  617  2  0 98  0  0
 0  0 266968 266776  16700 151820    0    0    17    74   79  611  4  0 96  0  0
 0  0 266968 231248  16708 153896    1    0     1     9  374 5996 35  7 57  0  0
 0  0 266968 227280  16736 155652    0    0   353    16  153 1540  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 266968 227056  16736 155660    0    0     0    28  139 1143  3  1 96  0  0
 0  0 266968 227072  16744 155712    0    0    10     5  177 1331  4  1 95  0  0
 0  0 266968 227072  16752 155712    0    0     0    12  141 1116  3  1 96  0  0
 1  0 266968 226204  16764 157428    0    0   341     8  105  762  2  0 97  1  0
 0  0 266952 209456  16776 168616    7    0  2550    63  400 4574 20  5 74  1  0
 0  0 266932 207976  16788 169856    5    0     6    17  331 3835 22  4 73  0  0
 0  0 266924 207604  16812 169856    2    0     2    78  352 3633 15  4 81  0  0
 0  0 266920 207100  16820 169860    1    0     1    10  214 1913 12  2 86  0  0
 0  0 266908 204968  16828 169916    5    0    15    11  290 2646 19  3 78  0  0
 0  0 266904 200040  16828 170552    1    0    67     0  290 4037 16  3 81  0  0
 0  0 266900 195080  16840 170640    1    0    12    10  137 1142  4  1 95  0  0
 0  0 266888 192104  16848 169100    2    0     2   169  360 4724 18  5 78  0  0
 1  0 266880 178464  16856 170604    2    0    46     9  286 2213 24  3 72  0  0
 0  0 266852 184540  16864 170444    6    0     7    18  258 2900 16  4 80  0  0
 0  0 266844 177596  16872 170444    2    0     2    14  137 1266  4  2 95  0  0
 0  0 266844 184044  16888 170444    0    0     0    90  137 1605  2  1 97  0  0
 0  0 266840 179332  16896 170600    1    0     1     6  238 3276 13  3 83  0  0
 0  0 266780 173124  16904 170992   17    0    17    34  324 3678 21  4 75  0  0
 0  0 266748 169272  16912 170996   10    0    10   199  135 1271  4  1 95  0  0
 0  0 266736 173232  16920 170092    2    0     2    18  289 4175 12  4 84  0  0
 0  0 266684 180688  16928 159228   18    0    21    20  421 4931 30  5 65  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 266684 177464  16936 159220    0    0     0    12  134 1235  4  1 95  0  0
 0  0 266680 184284  16936 159228    1    0     1     0   90  728  2  0 98  0  0
 0  0 266680 184292  16960 159228    0    0     0   106   66  476  1  1 98  0  0
 0  0 266680 184300  16968 159228    0    0     0    27   54  395  1  0 98  0  0
 2  0 266680 184052  16976 159228    0    0     0    22  129 1297  3  1 95  0  0
 0  0 266680 176984  16984 159224    0    0     0     5  155 1336  3  2 95  0  0
 2  0 266016 158632  16984 171092  276    0   474    85  289 3392 12  3 82  2  0
 0  0 265928 153788  17000 173340   25    0   181    15  349 4135 21  4 74  0  0
 0  0 265884 152548  17024 173368   18    0    20   178  158 1454  5  1 93  1  0
 0  0 265872 154904  17024 173368    2    0     2    21  197 2938  8  2 90  0  0
 0  0 265776 151152  17040 173380   30    0    30    36  303 2610 23  4 73  1  0
 1  0 265776 151036  17048 173380    0    0     0    18  155  884  7  1 91  0  0
 0  0 265776 151036  17056 173380    0    0     0     9  147  899  6  1 93  0  0
 2  0 265764 150292  17064 173392    2    0     2   139  430 4713 26  6 67  0  0
 0  0 265764 150540  17072 173384    0    0     0    22  302 2750 13  3 84  0  0
 0  0 265764 150540  17080 173424    0    0     0     9  172 1203  7  1 92  0  0
