procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  45676 192548   7844 174608    0    0     0     6   91  665  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  45676 192556   7852 174604    0    0     0    20   92  737  2  0 97  0  0
 0  0  45676 192556   7860 174604    0    0     0     4   76  596  1  1 98  0  0
 0  0  45676 192564   7860 174604    0    0     0     0   57  405  1  0 98  0  0
 1  0  45676 192556   7868 174604    0    0     0    79   89  825  3  0 97  0  0
 1  0  45676 113412   7876 174616    0    0     0    10  160 1086 18  1 81  0  0
 0  0  45676  73972   7884 174616    0    0     0     6  182  839 25  1 74  0  0
 0  0  45676  73848   7900 174612    0    0     0    70  165  552 25  0 75  0  0
 0  0  45676  73856   7908 174616    0    0     0    10  152  392 30  0 70  0  0
 1  0  45676  73732   7916 174616    0    0     0    14   68  308  6  0 94  0  0
 0  0  45676  73608   7924 174612    0    0     0     4  197  345 39  0 60  0  0
 0  0  45676  73484   7924 174608    0    0     0     0   49  321  1  0 99  0  0
 0  0  45676  73484   7932 174616    0    0     0    58  189  342 38  0 62  0  0
 0  0  45676  73360   7940 174616    0    0     0     7   48  313  1  0 98  0  0
 0  0  45676  73360   7948 174612    0    0     0     5  181  331 37  0 63  0  0
 0  0  45676  73360   7972 174612    0    0     0    80   54  322  1  0 98  0  0
 1  0  45676  73360   7980 174612    0    0     0    14  189  319 39  0 61  0  0
 0  0  45676  73352   7988 174612    0    0     0     6   92  760  5  1 94  0  0
 0  0  45676  73352   7996 174612    0    0     0     4  149  504 24  0 75  0  0
 0  0  45676  72988   7996 174612    0    0     2    40  112  454 13  0 87  0  0
 1  0  45676  72980   8004 174620    0    0     0     6  155  481 23  0 76  0  0
 0  0  45676  72980   8012 174620    0    0     0     5   99  403 12  1 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  45676  72972   8020 174620    0    0     0     6   98  393 12  0 88  0  0
 0  0  45676  72980   8036 174620    0    0     0    91  140  329 24  0 76  0  0
 0  0  45676  72988   8044 174620    0    0     0     6   89  328 12  0 87  0  0
 0  0  45676  72988   8052 174620    0    0     0     6  145  381 25  0 75  0  0
 0  0  45676 111932   8060 174620    0    0     0    30   98  824  2  1 98  0  0
 0  0  45676 190688   8060 174620    0    0     0     1   66  502  1  0 98  0  0
 0  0  45676 190696   8068 174624    0    0     0     6   54  378  1  0 98  0  0
 0  0  45676 189084   8080 174624    0    0     0     6  130  978  3  1 96  0  0
 0  0  45676 188952   8088 174624    0    0     0    14  143 1268  3  1 96  0  0
 0  0  45676 188952   8104 174624    0    0     0   102  140  905  2  1 97  0  0
 1  0  45676 185108   8112 174488    0    0     1    14  256 2487 14  2 84  0  0
 1  0  45676 178496   8120 175120    0    0     2    34  279 2086 18  2 80  0  0
 0  0  45676 173784   8128 176212    0    0     4    14  280 2610 19  2 78  0  0
 0  0  45676 163740   8128 176700    0    0     0     0  336 2841 26  3 71  0  0
 1  0  45676 163880   8136 176608    0    0     0    34  336 2995 19  3 78  0  0
 0  0  45676 159500   8144 176728    0    0     6    19  267 2126 17  3 80  0  0
 0  0  45676 159508   8152 176728    0    0     0     9  161  978  3  1 96  0  0
 0  0  45676 159136   8176 176716    0    0     0   276  114  836  3  1 96  0  0
 0  0  45676 158888   8184 176732    0    0     0    14  127  872  3  0 97  0  0
 2  0  45668 156780   8184 177124    2    0     2     6  258 2697 12  3 85  0  0
 0  0  45668 152928   8192 177488    0    0     0    20  327 3164 24  2 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  45668 148092   8200 177504    0    0     0    38  266 2391 12  3 85  0  0
 0  0  45588 146984   8208 177712   20    0    20    10  198 1954 10  2 88  0  0
 0  0  45588 144620   8224 178516    0    0     1    85  303 2574 14  2 84  0  0
 0  0  45588 156284   8232 167092    0    0     0    23  258 2573  7  3 90  0  0
 0  1  45588 156284   8236 167092    0    0     0    10  173 1959  5  1 94  0  0
 0  0  45588 156284   8256 167092    0    0     0    64  102 1115  4  1 96  0  0
 0  0  45584 117928   8268 170848   16    0   358    13  320 2996 22  4 72  1  0
 0  0  45584 117316   8276 170852    0    0     0   147   85  589  2  1 97  0  0
 0  0  45584 117192   8284 170856    0    0     0    29   93  657  2  1 97  0  0
 0  0  45584 117192   8292 170856    0    0     0    53   79  598  1  0 98  0  0
 0  0  45584 117192   8300 170852    0    0     0     6   84  590  1  1 98  0  0
 0  0  45584 121036   8308 170856    0    0     0     8  219 2631 12  3 85  0  0
 0  0  45584 120920   8308 170856    0    0     0     6  131 1444  4  1 95  0  0
 0  0  45584 120920   8332 170852    0    0     0    96  102 1110  3  1 95  0  0
 0  0  45584 120920   8340 170860    0    0     0    10  155 1432  3  0 97  0  0
 0  0  45584  84672   8348 172908    0    0     0    36  197 1842 19  5 76  0  0
 0  0  45584  84292   8348 172920    0    0     0     0   92  629  3  0 97  0  0
 0  0  45584  84556   8356 172912    0    0     0    14   74  561  2  0 98  0  0
 0  0  45584  88276   8364 172916    0    0     0     6  139 1478  9  3 89  0  0
 0  0  45584  88268   8372 172920    0    0     0     5  126 1237  4  0 96  0  0
 1  0  45584  87896   8388 172924    0    0     0   134  175 1433  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  45584  87648   8396 172924    0    0     0    13   76  577  2  0 98  0  0
 0  0  45584  87656   8404 172924    0    0     0    38   59  439  1  0 98  0  0
 0  0  45584  87648   8412 172920    0    0     0    12   69  493  1  0 98  0  0
 0  0  45584  87648   8420 172920    0    0     0     6   72  589  2  0 98  0  0
 0  0  45584  91252   8428 172920    0    0     0     6  104 1121  2  1 97  0  0
 0  0  45584  91244   8436 172912    0    0     0     6   89  942  2  1 97  0  0
 0  0  45584  91244   8436 172920    0    0     0     1   73  475  1  0 98  0  0
 0  0  45584  91252   8444 172920    0    0     0    90   65  420  1  1 98  0  0
 0  0  45584  91252   8468 172920    0    0     0    38   53  309  1  0 99  0  0
 0  0  45584  91244   8484 172920    0    0     0     7   50  313  1  0 98  0  0
 0  0  45584  91244   8492 172924    0    0     0     6   54  316  1  0 99  0  0
 0  0  45584  91128   8492 172928    0    0     0    47   70  496  1  0 98  0  0
 0  0  45584  91120   8500 172928    0    0     0     8   75  534  1  1 98  0  0
 0  0  45584  91128   8508 172928    0    0     0     5   79  613  2  0 98  0  0
 0  0  45584  91128   8516 172924    0    0     0     6   98  639  1  1 98  0  0
 0  0  45584  91128   8524 172920    0    0     0     6   91  788  2  1 97  0  0
 0  0  45584  91128   8540 172924    0    0     0    86   85  592  1  0 98  0  0
 0  0  45584  91128   8548 172928    0    0     0     6  104 1223  3  1 96  0  0
 1  1 143124  75064   2852 117684    0 19508    27 19524  255 1251 32  6 54  9  0
 0  0 143124  62144    228  69972    0    0  2193    37  275  774 37  3 59  1  0
 0  0 143124  61524    244  70496    0    0   112     7  155  476 25  0 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 143124  60160    388  71564    0    0   241     5  294 1617 39  1 59  1  0
 1  0 143124  89052   1644  66004    0    0   432     5  336 3226 22  3 75  0  0
 0  0 143124  88928   1652  66176    0    0    26     5  308 1741 51  1 48  0  0
 0  0 143124  86820   1660  68160    0    0   387     5  111  445 13  0 86  1  0
