procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 265412 143332  17304 175172    1   50   137    85  111  830  7  1 92  0  0
 1  0 334924  82764   1068 154132    1 13903     3 13962  216 1144 28  5 67  0  0
 2  0 372040  67740    420  69484    0 7423  2172  7477  417 1525 47  4 35 13  0
 2  0 446084  63740    848  75248    1 14810  3789 14814  495 1326 67  4  1 28  0
 0  0 446084  76264    732  81936    0    0  2065     0  287  952 50  2 47  1  0
 0  0 446080  74156    740  84000    1    0   405     6  288  931 60  1 39  1  0
 2  0 446080  70560   1744  86476    0    0   690     6  389  511 91  1  8  0  0
 2  0 446080  70560   1752  86568    0    0     2     5  233  462 49  0 51  0  0
 2  0 446080  69444   1760  87568    0    0   188     7  328  586 84  1 15  0  0
 0  0 446076  63864   2040  92404    1    0  1002   106  281  596 57  0 42  0  0
 1  0 446076  63616   2196  92784    0    0    78    40  211  527 43  0 57  0  0
 0  0 446076  60384   2340  96004    4    0   661     6  348  978 67  1 32  0  0
 1  0 578476 110108   3592  82748  273 26645  1946 26673  333  980 34  5 38 23  0
 0  0 578372 112352   3608  83332    8    0   111     6  382  862 80  1  7 12  0
 2  0 578256 114584   3616  85352    1    0   394     6  157  432 28  0 72  0  0
 2  0 578220 114336   3624  85416    2    0     3    26  384  519 90  0 10  0  0
 1  0 578216 114212   3632  85492    0    0     2    62  154  385 29  0 71  0  0
 1  0 578180 114212   3640  85484    2    0     2     6  330  480 81  0 19  0  0
 0  0 578176 114088   3640  85552    0    0     2     3  202  411 45  0 55  0  0
 3  0 578148 113964   3664  85680    5    0     6    64  256  470 58  0 42  0  0
 0  0 578148 113964   3672  85680    0    0     0     7  287  526 64  0 36  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 578068 113840   3680  85676    5    0     5    13  170  381 33  0 66  0  0
 0  0 577868 151800   3860  86964   34    0   323    49  363  540 83  1 17  0  0
 0  0 577764 185356   4956  91412   33    0  1134     7  146  448 16  0 82  2  0
 1  0 577704 381544   4964  91744   14    0    81     7  118  636 15  0 84  0  0
 0  0 577608 420748   4964  91728    0    0     0     2   60  478  1  0 98  0  0
 0  0 577424 460468   4972  91744   36    0    36     6   58  414  1  0 98  0  0
 0  1 573708 448812   5404 100668  474    0  2334    87  222  862  1  1 92  7  0
 0  0 570520 446340   5412 101900  136    0   377    13  110  490  2  0 95  2  0
 0  0 570508 446340   5420 101904    0    0     0    16   53  387  1  0 99  0  0
 0  0 567584 443240   5432 103756  201    0   573    71  126  530  3  0 95  2  0
 0  0 567580 443084   5440 103752    0    0     0     6   59  376  1  0 98  0  0
 0  0 567572 442960   5456 103916    0    0     0    93   53  348  1  0 98  0  0
 0  0 567568 442836   5464 103916    0    0     0     6   53  389  1  0 99  0  0
 0  0 567568 442836   5476 103932    0    0     1    19   51  350  1  0 98  0  0
 0  0 567564 442712   5484 104020    0    0    18    13   53  371  1  0 98  0  0
 0  0 567564 442712   5484 104016    0    0     0    39   47  344  1  0 99  0  0
 0  0 567564 442588   5492 104016    0    0     0     6   56  421  1  0 99  0  0
 0  0 567480 442580   5500 104016   14    0    14     6   56  351  1  0 98  0  0
 0  0 567136 442092   5508 104336   12    0    77     5   60  389  1  0 98  0  0
 0  0 567120 441720   5508 104356    2    0     6     0   56  334  1  0 98  0  0
 0  0 567112 442092   5532 104360    2    0     2    90   58  382  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 566764 441680   5540 104632   55    0   110    14   82  415  2  1 96  1  0
 0  0 565836 438456   5548 107088   67    0   548    30  103  507  2  1 95  1  0
 0  0 565832 438456   5556 107088    0    0     0     7   52  322  1  0 98  0  0
 0  0 565832 438464   5564 107088    0    0     0     5   52  365  1  0 98  0  0
 0  0 565828 438464   5564 107088    0    0     0     0   44  364  1  0 99  0  0
 0  0 565824 438464   5572 107092    1    0     1     6   56  368  1  0 98  0  0
 0  0 565812 438464   5580 107088    0    0     0     6   54  357  1  0 98  0  0
 0  0 565808 437596   5596 107860    2    0   154   106   54  448  1  0 98  0  0
 0  0 556328 422452   5676 115516 1371    0  2396   553  392 1307  3  1 86 10  0
 0  0 556320 422584   5684 115508    2    0     2    13   61  352  1  0 98  0  0
 0  0 555644 422468   5692 115564   99    0   110     6   76  411  1  0 97  1  0
 1  1 519488 452724   5704 116524 2882    0  3071    12  716 1904 14  5 74  6  0
 0  0 517336 456816   5704 119312  354    0   913     0  165  754  6  1 92  1  0
 0  0 516816 449624   5712 122516  149    0   790     6  153 1165  3  1 95  1  0
 0  0 508456 424576   5852 134832 1224    0  3514    40  438 3858 15  3 77  5  0
 0  0 506960 408944   5876 138780  315    0   993   137  395 2744 23  4 71  3  0
 0  0 506296 395396   5892 140028   82    0   178    18  374 3574 32  4 64  0  0
 0  0 506176 399000   5900 140064   24    0    24    11  234 3094  9  2 89  0  0
 0  0 506172 398628   5908 140068    0    0     0    23  166 1872  3  2 95  0  0
 1  0 506164 393412   5916 141240    0    0     0     9  316 3979 17  4 80  0  0
 0  0 505956 388600   5928 141040   22    0    60    19  452 5464 35  6 59  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 505944 388484   5936 141044    2    0     2   183  124 1214  3  1 95  0  0
 0  0 505916 383648   5948 141256   10    0    11   105  252 3179 10  2 87  0  0
 2  0 505800 387692   5964 141620   31    0    31    62  410 4876 31  5 64  0  0
 0  0 504068 416088   5964 141640   23    0    23     6  135 1315 10  1 88  0  0
 0  0 504032 416476   5980 141824   11    0    49    21  152 1681  3  2 95  0  0
 0  0 504024 416476   5992 142836    0    0     1    16  312 4046 18  4 78  0  0
 0  0 503676 400100   6000 142360   38    0    38    25  397 4614 29  6 64  0  0
 0  1 503664 395752   6008 142352    2    0     2    85  221 2932  8  2 90  0  0
 0  0 503576 392132   6008 142384   15    0    15     0  461 6116 34  7 59  0  0
 0  0 503552 391140   6016 142388    6    0     6   154  175 1955  4  1 95  0  0
 0  0 503552 391148   6024 142388    0    0     0    18  158 1827  2  2 95  0  0
 0  0 503548 392884   6048 142696    1    0     1    83  361 4465 23  4 73  0  0
 0  0 503536 387112   6056 142400    7    0     7    22  334 4151 23  4 73  0  0
 0  0 503456 386872   6064 142400   14    0    14    21  115  975  2  1 97  0  0
 1  0 503384 390096   6072 142380   50    0    50    31  213 2693  4  2 93  1  0
 2  0 503300 384352   6072 142412   22    0    22    46  428 5080 36  5 58  0  0
 0  0 503260 413624   6084 142956    7    0   117    18  204 2502  9  3 88  0  0
 0  0 503248 401844   6664 150040    2    0  1530     9  209 2103  7  3 89  1  0
 0  0 503200 396264   6672 150016    4    0     4    22  270 3545 12  3 84  0  0
 0  0 503136 389560   6688 150068    7    0     7   238  472 5795 39  5 55  0  0
 0  0 502928 388080   6696 150064    0    0     0     9  148 1371  4  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 502864 394156   6704 150072    7    0     7    33  161 2161  3  2 95  0  0
 5  0 502860 383964   6704 153656    1    0     1    29  379 4585 30  5 65  0  0
 0  0 502820 378980   6712 152316   14    0    14    10  197 1204 12  2 86  0  0
 0  0 502804 378368   6720 152304   10    0    10    18  160  916  6  1 93  0  0
 0  0 502776 380136   6744 150084    5    0     6   154  165 1015  5  1 94  0  0
 0  0 502772 382260   6752 147564    0    0     0   149  141  935  5  1 94  0  0
 0  0 502772 382260   6760 147564    0    0     0    10  145  876  4  0 95  0  0
 0  0 502772 401472   6760 147564    0    0     0    22  165  909  7  1 92  0  0
 0  0 502772 405572   6768 147568    0    0     0    54  155  953  6  0 94  0  0
 1  0 502772 404952   6776 147568    0    0     0    15  155  876  4  0 95  0  0
 0  0 502772 404952   6776 147568    0    0     0     2  147  879  4  0 95  0  0
 0  0 502772 404828   6784 147564    0    0     0     8  149  895  4  0 95  0  0
 0  0 502772 404828   6792 147560    0    0     0     6  149  878  4  0 96  0  0
 0  0 502772 404704   6808 147564    0    0     0    94  152  887  4  1 95  0  0
 0  0 502772 404704   6816 147564    0    0     0    18  147  902  5  1 95  0  0
 0  0 502772 404580   6824 147564    0    0     0    30  159  889  6  1 93  0  0
 0  0 502772 404580   6832 147564    0    0     0     6  146  877  4  0 96  0  0
 0  0 502768 404332   6840 147552    3    0     3     5  156  882  4  0 95  0  0
 0  0 502768 404332   6840 147560    0    0     0    44  149  876  4  1 96  0  0
 0  0 502768 404332   6848 147564    0    0     0     6  160  881  4  0 96  0  0
 0  0 502768 405820   6856 147564    0    0     0     6  160  942  7  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 502768 405200   6872 147564    0    0     0    60  153  895  5  0 95  0  0
 1  0 502768 405200   6880 147564    0    0     0     6  149  883  5  1 95  0  0
 0  0 502768 405076   6888 147564    0    0     0     4  146  886  6  1 93  0  0
 1  0 502768 405076   6896 147560    0    0     0     6  139  879  5  0 95  0  0
 0  0 502768 404952   6904 147564    0    0     0    62  159  885  5  1 94  0  0
 0  0 502768 404688   6908 147568    0    0     0     3  152  904  4  0 95  0  0
 0  0 502768 404580   6916 147572    0    0     0    10  147  887  4  0 96  0  0
 0  0 502768 404332   6924 147596    0    0     0     6  237 2900 11  2 87  0  0
 0  0 502764 404208   6940 147600    1    0     1    73   75  575  2  0 97  0  0
 0  0 502764 404208   6948 147600    0    0     0     6   60  474  1  1 98  0  0
 0  0 502764 404084   6956 147600    0    0     0     5   56  350  1  0 98  0  0
 0  0 502764 404084   6964 147600    0    0     0    38   51  329  1  0 99  0  0
 0  0 502756 401604   6972 147608    0    0     0     5   61  388  3  0 96  0  0
 0  0 502756 401356   6972 147600    0    0     0     2   52  329  1  0 98  0  0
 0  0 502756 401356   6980 147600    0    0     0    11   51  346  1  0 98  0  0
 0  0 502752 401356   6988 147600    1    0     1    10   57  322  1  0 98  0  0
 0  0 502752 401356   7012 147600    0    0     0   103   60  399  1  1 98  0  0
 0  0 502752 401604   7012 147604    0    0     0     0   52  321  1  0 98  0  0
 0  0 502752 401604   7028 147604    0    0     0    32   55  357  1  0 98  0  0
 0  0 502752 401604   7036 147604    0    0     0     6   54  314  1  0 98  0  0
 0  0 502752 401604   7044 147604    0    0     0     6   48  337  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 502752 401604   7044 147604    0    0     0     2   51  345  1  0 99  0  0
 0  0 502752 401604   7052 147604    0    0     0     6   55  348  1  0 99  0  0
 0  0 502752 401604   7064 147612    0    0     0     6   53  353  1  0 98  0  0
 0  0 502744 400736   7072 147612    1    0     1    14   54  349  1  0 98  0  0
