Delay is 2..num_iter is 10
Time is 1584824792 : 976539..slept for 7.113934 ms
Time is 1584824792 : 979435..slept for 2.892017 ms
Time is 1584824792 : 981760..slept for 2.321005 ms
Time is 1584824792 : 984108..slept for 2.345085 ms
Time is 1584824792 : 987852..slept for 3.741026 ms
Time is 1584824792 : 991271..slept for 3.415108 ms
Time is 1584824792 : 994152..slept for 2.877951 ms
Time is 1584824792 : 997009..slept for 2.853155 ms
Time is 1584824792 : 999405..slept for 2.391815 ms
Time is 1584824793 : 2540..slept for 3.131151 ms
Total time taken : actual 33.116102 theory(excl. runtime): 20, ms
